locale,code,name,descr
"uk","MP","Північні Маріанські острови","Північні Маріанські острови"
"uk","MQ","Мартиніка","Мартиніка"
"uk","MR","Мавританія","Мавританія"
"uk","MS","Монтсеррат","Монтсеррат"
"uk","MT","Мальта","Мальта"
"uk","MU","Маврикій","Маврикій"
"uk","MV","Мальдіви","Мальдіви"
"uk","MW","Малаві","Малаві"
"uk","MX","Мексика","Мексика"
"uk","MY","Малайзія","Малайзія"
"uk","MZ","Мозамбік","Мозамбік"
"uk","NA","Намібія","Намібія"
"uk","NC","Нова Каледонія","Нова Каледонія"
"uk","NE","Нігер","Нігер"
"uk","NF","Норфолкські острови","Норфолкські острови"
"uk","NG","Нігерія","Нігерія"
"uk","NI","Нікарагуа","Нікарагуа"
"uk","NL","Нідерланди","Нідерланди"
"uk","NO","Норвегія","Норвегія"
"uk","NP","Непал","Непал"
"uk","NR","Науру","Науру"
"uk","NU","Ніуе","Ніуе"
"uk","NZ","Нова Зеландія","Нова Зеландія"
"uk","OM","Оман","Оман"
"uk","PA","Панама","Панама"
"uk","PE","Перу","Перу"
"uk","PF","Французька Полінезія","Французька Полінезія"
"uk","PG","Папуа-Нова Гвінея","Папуа-Нова Гвінея"
"uk","PH","Філіппіни","Філіппіни"
"uk","PK","Пакистан","Пакистан"
"uk","PL","Польща","Польща"
"uk","PM","Сент П’єр і Мікелон","Сент П’єр і Мікелон"
"uk","PN","Острови Піткерн","Острови Піткерн"
"uk","PR","Пуерто-Ріко","Пуерто-Ріко"
"uk","PS","Палестина","Палестина"
"uk","PT","Португалія","Португалія"
"uk","PW","Палау","Палау"
"uk","PY","Парагвай","Парагвай"
"uk","QA","Катар","Катар"
"uk","RE","Реюньйон","Реюньйон"
"uk","RO","Румунія","Румунія"
"uk","RS","Сербія","Сербія"
"uk","RU","Російська Федерація","Російська Федерація"
"uk","RW","Руанда","Руанда"
"uk","SA","Саудівська Аравія","Саудівська Аравія"
"uk","SB","Соломонові острови","Соломонові острови"
"uk","SC","Сейшели","Сейшели"
"uk","SD","Судан","Судан"
"uk","SE","Швеція","Швеція"
"uk","SG","Сінгапур","Сінгапур"
"uk","SH","Острів Святої Єлени","Острів Святої Єлени"
"uk","SI","Словенія","Словенія"
"uk","SJ","Свальбард","Свальбард"
"uk","SK","Словаччина","Словаччина"
"uk","SL","Сьєрра-Леоне","Сьєрра-Леоне"
"uk","SM","Сан-Марино","Сан-Марино"
"uk","SN","Сенегал","Сенегал"
"uk","SO","Сомалі","Сомалі"
"uk","SR","Суринам","Суринам"
"uk","SS","Південний Судан","Південний Судан"
"uk","ST","Сан-Томе і Прінсіпі","Сан-Томе і Принсіпі"
"uk","SV","Сальвадор","Сальвадор"
"uk","SX","Сінт-Мартен","Сінт-Мартен (голандська частина)"
"uk","SZ","Есватіні","Королівство Есватіні"
"uk","TC","Острови Теркс і Кайкос","Острови Теркс і Кайкос"
"uk","TD","Чад","Чад"
"uk","TF","Французькі Південні та Антарктичні території","Французькі Південні та Антарктичні території"
"uk","TG","Того","Того"
"uk","TH","Таїланд","Таїланд"
"uk","TJ","Таджикистан","Таджикистан"
"uk","TK","Острови Токелау","Острови Токелау"
"uk","TL","Східний Тимор","Східний Тимор"
"uk","TM","Туркменістан","Туркменістан"
"uk","TN","Туніс","Туніс"
"uk","TO","Тонга","Тонга"
"uk","TP","Східний Тимор","Східний Тимор"
"uk","TR","Туреччина","Туреччина"
"uk","TT","Трінідад,Тобаго","Тринідад і Тобаго"
"uk","TV","Тувалу","Тувалу"
"uk","TW","Тайвань","Тайвань"
"uk","TZ","Танзанія","Танзанія"
"uk","UA","Україна","Україна"
"uk","UG","Уганда","Уганда"
"uk","UM","Малі віддалені острови Сполучених Штатів","Малі віддалені острови Сполучених Штатів"
"uk","US","Сполучені Штати","Сполучені Штати"
"uk","UY","Уругвай","Уругвай"
"uk","UZ","Узбекистан","Узбекистан"
"uk","VA","Ватикан","Ватикан"
"uk","VC","Сент-Вінсент","Сент-Вінсент і Гренадини"
"uk","VE","Венесуела","Венесуела"
"uk","VG","Британські Віргінські острови","Британські Віргінські острови"
"uk","VI","Американські Віргінські острови","Американські Віргінські острови"
"uk","VN","В'єтнам","В'єтнам"
"uk","VU","Вануату","Вануату"
"uk","WF","Уолліс, Футуна","Острови Уолліс і Футуна"
"uk","WS","Самоа","Самоа"
"uk","YE","Ємен","Ємен"
"uk","YT","Майотта","Майотта"
"uk","ZA","Південна Африка","Південна Африка"
"uk","ZM","Замбія","Замбія"
"uk","ZW","Зімбабве","Зімбабве"
